state,median_income,year
Puerto Rico,25096,2023
Mississippi,54915,2023
West Virginia,57917,2023
Arkansas,58773,2023
Louisiana,60023,2023
Alabama,62027,2023
New Mexico,62125,2023
Kentucky,62417,2023
Oklahoma,63603,2023
South Carolina,66818,2023
Tennessee,67097,2023
Missouri,68920,2023
Ohio,69680,2023
North Carolina,69904,2023
Montana,69922,2023
Indiana,70051,2023
Michigan,71149,2023
Florida,71711,2023
Maine,71773,2023
South Dakota,72421,2023
Kansas,72639,2023
Iowa,73147,2023
Idaho,74636,2023
Georgia,74664,2023
Wyoming,74815,2023
Nebraska,74985,2023
Nevada,75561,2023
Wisconsin,75670,2023
North Dakota,75949,2023
Pennsylvania,76081,2023
Texas,76292,2023
Arizona,76872,2023
Vermont,78024,2023
Oregon,80426,2023
Illinois,81702,2023
Delaware,82855,2023
New York,84578,2023
Rhode Island,86372,2023
Minnesota,87556,2023
Alaska,89336,2023
Virginia,90974,2023
Utah,91750,2023
Colorado,92470,2023
Connecticut,93760,2023
Washington,94952,2023
New Hampshire,95628,2023
California,96334,2023
Hawaii,98317,2023
New Jersey,101050,2023
Massachusetts,101341,2023
Maryland,101652,2023
District of Columbia,106287,2023
